peak_hour,year,season,community,num_stations,total_docks,docks_in_service,available_docks,available_bikes,percent_full
Yes,2013,Winter,BRIDGEPORT,7,13.285714285714286,13.265225712034223,8.664640324214792,4.6005853878194305,34.68154622989774
Yes,2013,Winter,DOUGLAS,9,13.222222222222221,13.222222222222221,8.512739690044654,4.709482532177567,35.61793511730934
Yes,2013,Winter,EDGEWATER,1,15,15,8.9204097714736,6.079590228526398,40.530601523509326
Yes,2013,Winter,GRAND BOULEVARD,6,14.325847123719464,14.325847123719464,10.319674284213292,4.006172839506172,27.964648826058653
Yes,2013,Winter,HYDE PARK,5,15,14.994956658786446,10.426477541371158,4.568479117415288,30.466771070914312
Yes,2013,Winter,KENWOOD,4,14,14,9.35756501182033,4.642434988179669,33.16024991556907
Yes,2013,Winter,LAKE VIEW,34,16.383674036990683,16.35368284429611,10.876164650257266,5.477518194038845,33.49409577151798
Yes,2013,Winter,LINCOLN PARK,36,16.137991419315295,16.101370282812365,10.432317660450048,5.669052622362315,35.20851034904666
Yes,2013,Winter,LINCOLN SQUARE,7,15.552065743555106,15.527862208713273,10.397050545986717,5.130811662726557,33.04261458378645
Yes,2013,Winter,LOGAN SQUARE,12,14.666666666666666,14.58602574205411,9.72314158129761,4.862884160756501,33.33933620270489
Yes,2013,Winter,LOOP,27,23.429734699238246,23.334851005457782,13.995855587660158,9.338995417797625,40.02166294360881
Yes,2013,Winter,LOWER WEST SIDE,13,14.076923076923077,14.059586591501485,9.830150936533915,4.22943565496757,30.08221918505137
Yes,2013,Winter,NEAR NORTH SIDE,34,19.68761878273768,19.52222685764613,12.213414916794141,7.3088119408519905,37.438413118272926
Yes,2013,Winter,NEAR SOUTH SIDE,11,17.215344938749194,17.099434056880867,11.114907944695178,5.984526112185686,34.998387035958615
Yes,2013,Winter,NEAR WEST SIDE,41,17.73170731707317,17.665167502738857,10.552307367045302,7.1128601356935555,40.2648892776746
Yes,2013,Winter,NORTH CENTER,6,14.272392960336223,14.216049382716049,8.766614131862358,5.449435250853691,38.33297918533643
Yes,2013,Winter,SOUTH LAWNDALE,1,10.93538219070134,10.93538219070134,7.867612293144208,3.0677698975571315,28.05361389349283
Yes,2013,Winter,UPTOWN,12,15,14.947005516154451,9.895652744943526,5.051352771210928,33.79508200322478
Yes,2013,Winter,WASHINGTON PARK,1,15,14.584712371946415,10.31678486997636,4.267927501970055,29.263021396153015
Yes,2013,Winter,WEST TOWN,29,15.155756637047906,15.080133692019238,9.869297029972012,5.210836662047227,34.5543134329434
No,2014,Fall,ARMOUR SQUARE,4,13,12.858116014710799,6.754262788365096,6.103853226345704,47.47082091468429
No,2014,Fall,BRIDGEPORT,7,13.285714285714286,13.147346802311697,7.318574771934852,5.828772030376845,44.33420763915631
No,2014,Fall,DOUGLAS,9,13.666666666666666,13.557598722092202,7.386697128422305,6.170901593669899,45.516184098400636
No,2014,Fall,EDGEWATER,1,15,14.818622534269474,6.948010698762956,7.870611835506519,53.11297873540527
No,2014,Fall,GRAND BOULEVARD,6,13.532486347932688,13.387718711690628,7.267747687506965,6.119971024183662,45.71332245604688
No,2014,Fall,HYDE PARK,5,14.980775660314276,14.76175192243397,7.723470411233701,7.0382815112002675,47.67917485799186
No,2014,Fall,KENWOOD,4,14,13.933717820127049,8.351554663991976,5.5821631561350715,40.06226642591915
No,2014,Fall,LAKE VIEW,34,17.08263024367219,16.854283438550947,9.439789958109623,7.414493480441323,43.991745525544495
No,2014,Fall,LINCOLN PARK,36,16.439884468219475,16.18837995467885,9.055365169582823,7.133014785096028,44.06256095462108
No,2014,Fall,LINCOLN SQUARE,7,16.54062186559679,16.336939389597365,8.993886421168266,7.343052968429097,44.947543681926284
No,2014,Fall,LOGAN SQUARE,12,15,14.784757048924552,8.017357628440879,6.767399420483673,45.77281451490565
No,2014,Fall,LOOP,27,26.101737310697523,25.733546317966244,16.706892281783624,9.026654036182622,35.077380803439965
No,2014,Fall,LOWER WEST SIDE,13,13.892112234138313,13.732646657922485,7.496836663837667,6.235809994084819,45.40865391368185
No,2014,Fall,NEAR NORTH SIDE,34,20.998082482742344,20.60873306193089,12.318081696068598,8.290651365862292,40.228826007635796
No,2014,Fall,NEAR SOUTH SIDE,11,18.96952980152579,18.73996231117595,11.012932737606759,7.727029573569192,41.23289815242063
No,2014,Fall,NEAR WEST SIDE,41,17.925096427493862,17.63819915029642,9.919963141456892,7.7182360088395265,43.758639660839854
No,2014,Fall,NORTH CENTER,6,14.333333333333334,14.210325420706564,7.02638470968461,7.183940711021955,50.55437154559376
No,2014,Fall,SOUTH LAWNDALE,1,15,15,8.3547308592444,6.6452691407556,44.301794271704
No,2014,Fall,UPTOWN,12,14.999930346595342,14.798757383260893,7.8657500278613615,6.933007355399532,46.848577727489236
No,2014,Fall,WASHINGTON PARK,1,15,14.648278167836844,8.843697759946506,5.804580407890338,39.6263666035195
No,2014,Fall,WEST TOWN,29,15.275862068965518,15.01316017016567,8.189424595625958,6.823735574539711,45.45169369537481
No,2014,Spring,ARMOUR SQUARE,4,13,12.91875,6.455859375,6.462890625,50.02721335268505
No,2014,Spring,BRIDGEPORT,7,13.285714285714286,13.14799107142857,6.798883928571429,6.349107142857143,48.28956080335467
No,2014,Spring,DOUGLAS,9,13.222222222222221,13.115277777777777,7.037847222222222,6.077430555555556,46.338557661760035
No,2014,Spring,EDGEWATER,1,15,15,6.9625,8.0375,53.58333333333333
No,2014,Spring,GRAND BOULEVARD,6,14.333333333333334,14.248697916666666,7.644791666666666,6.60390625,46.347436717536326
